title,score,type,status,start_date,end_date,members,favorites,sfw,genres_score,themes_score,demographics_score,serializations_score
Gamaran,7.71,manga,finished,2009-05-13,2013-06-26,29782,611,TRUE,7.03491295938104,7.113725809258614,7.02829368334701,7.25005747126437
Koi dano Ai dano,8.07,manga,finished,2009-10-10,2016-04-09,11352,214,TRUE,6.99514661646792,6.99883732920856,7.01893118148599,7.10689655172414
Sidonia no Kishi,7.75,manga,finished,2009-04-25,2015-09-25,27887,836,TRUE,7.234448491575325,7.1424700216864405,6.92562576938859,7.10347107438017
"Omoi, Omoware, Furi, Furare",7.77,manga,finished,2015-06-13,2019-05-13,26256,660,TRUE,7.299304271125783,7.243720990185675,7.01893118148599,7.10311688311688
Bokutachi wa Benkyou ga Dekinai,7.66,manga,finished,2017-02-06,2020-12-21,75444,2528,TRUE,6.99514661646792,6.97017016761029,7.02829368334701,6.91140992167102
Akuma de Sourou,7.83,manga,finished,1998-01-01,2002-12-01,13555,355,TRUE,7.033557379061904,6.99883732920856,7.01893118148599,7.10311688311688
Tokyo Ghoul,8.03,light_novel,finished,2013-07-19,2014-12-19,13146,399,TRUE,6.979401150898992,7.10944881889764,6.93,6.93
Kasane,7.85,manga,finished,2013-04-23,2018-08-10,24535,574,TRUE,7.064504603640085,7.10944881889764,6.92562576938859,6.92740740740741
Satougashi no Dangan wa Uchinukenai: A Lollypop or A Bullet,7.94,manga,finished,2007-01-09,2008-01-09,13882,434,TRUE,7.11037890424987,7.0541430740530995,7.02829368334701,6.82182608695652
NG Life,8.15,manga,finished,2006-02-01,2009-03-05,10974,296,TRUE,7.029825610054003,7.28119162801855,7.01893118148599,7.25844720496894
Sojou no Koi wa Nido Haneru,8.14,manga,finished,2006-10-20,2009-04-20,6974,170,FALSE,6.991558365831445,6.93,6.93841503267974,7.076
Keishichou Tokuhanka 007,8.19,manga,finished,2006-10-20,2012-03-20,9445,304,TRUE,7.0186303030303,7.19552380952381,7.01893118148599,7.57
Gekkou,7.92,light_novel,finished,2010-09-10,2010-09-10,14368,412,TRUE,7.04029092613013,6.99883732920856,7.02829368334701,7.25368421052632
"Inari, Konkon, Koi Iroha.",7.85,manga,finished,2010-07-03,2015-04-04,17060,346,TRUE,7.002974511988714,6.99883732920856,6.92562576938859,6.9187323943662
Sora Log,7.86,manga,finished,2008-10-24,2010-02-24,12612,159,TRUE,7.05749550133888,6.99883732920856,7.01893118148599,7.04922330097087
Kimi wa Natsu no Naka,7.85,manga,finished,2016-07-30,2017-05-30,13729,247,TRUE,7.051014079971644,6.99883732920856,6.93,6.88013157894737
New Game!,7.88,manga,finished,2013-01-28,2021-08-27,20265,663,TRUE,6.98568113450795,7.39667973856209,6.93,7.15533333333333
Mother's Spirit,7.93,manga,finished,2014-09-22,2019-03-22,8725,172,FALSE,6.92562123032401,6.93,6.93,6.98181818181818
Penguin Kakumei,7.98,manga,finished,2004-08-24,2007-12-22,9454,156,TRUE,6.99514661646792,7.489873754152825,7.01893118148599,7.19299145299145
Übel Blatt,7.68,manga,finished,2004-12-03,2019-03-25,51598,1361,TRUE,6.968783598028388,6.93,6.92562576938859,6.94318181818182
Umineko no Naku Koro ni - Episode 2: Turn of the Golden Witch,7.81,manga,finished,2009-07-22,2010-12-22,13274,118,TRUE,7.020547873115188,7.10944881889764,6.93,7.3489230769230804
Otouto no Otto,8.17,manga,finished,2014-09-25,2017-05-25,10557,220,TRUE,7.09760306242638,6.93,6.93,6.94818181818182
Bukiyou na Silent,7.98,manga,finished,2004-09-07,2016-09-07,10263,161,FALSE,6.960383923395965,6.99883732920856,6.93,7.0455421686747
Full Metal Panic!,7.8,manga,finished,2000-01-09,2005-03-09,15693,346,TRUE,7.008402064105627,7.092660256410255,7.02829368334701,6.82182608695652
Zettai Heiwa Daisakusen,7.78,manga,finished,2007-08-10,2010-10-09,16400,147,TRUE,7.035532684661078,6.93,7.01893118148599,7.10689655172414
Neon Sign Amber,7.86,manga,finished,2015-08-12,2015-12-14,10847,160,FALSE,6.92562123032401,6.93,6.93,7.12403100775194
"Kyou, Koi wo Hajimemasu",7.66,manga,finished,2007-09-05,2012-02-03,45864,1355,TRUE,7.05749550133888,6.99883732920856,7.01893118148599,7.00196202531646
Koko ni Iru yo!,7.68,manga,finished,2007-06-02,2008-12-17,33243,755,TRUE,7.051107580427135,6.99883732920856,7.01893118148599,7.10766990291262
Kidou Senshi Gundam: The Origin,8.53,manga,finished,2001-06-25,2014-06-26,12450,664,TRUE,7.234448491575325,7.1424700216864405,7.02829368334701,7.1864
Another,7.65,manga,finished,2010-04-03,2011-12-03,58612,1604,TRUE,7.021187063143484,7.166665041415875,6.92562576938859,6.9187323943662
Bokutachi ga Yarimashita,7.98,manga,finished,2015-04-06,2017-01-23,14665,406,TRUE,7.11037890424987,6.93,6.92562576938859,7.01152173913044
Boku to Kimi no Taisetsu na Hanashi,7.87,manga,finished,2015-08-24,2019-12-24,17666,275,TRUE,7.3937669545637394,6.99883732920856,7.01893118148599,7.09650602409639
Aoharu x Kikanjuu,8.05,manga,finished,2012-06-18,2019-08-17,14762,605,TRUE,7.05407407407407,7.16848484848485,7.02829368334701,7.3489230769230804
Rosario to Vampire,7.63,manga,finished,2004-07-06,2007-05-05,88563,3485,TRUE,6.960857885592425,6.989932449598413,7.02829368334701,7.08
Nousatsu Junkie,7.94,manga,finished,2003-10-04,2008-11-20,12015,272,TRUE,6.99514661646792,7.12018543934622,7.01893118148599,7.25844720496894
"Maoyuu Maou Yuusha: 'Kono Ware no Mono to Nare, Yuusha yo' 'Kotowaru!'",8,manga,finished,2011-04-26,2016-04-26,15520,239,TRUE,7.037115081660124,7.0183203125,6.93,6.97268292682927
Mayo Chiki!,7.71,manga,finished,2010-07-27,2013-11-27,21757,496,TRUE,6.99514661646792,6.87057613168724,6.92562576938859,6.87876033057851
Junketsu Drop,7.81,manga,finished,2011-04-22,2011-08-22,12379,159,TRUE,6.94506027323868,6.93,6.93,6.99410256410256
CUT,7.89,manga,finished,2003-05-10,2003-05-10,8629,196,FALSE,6.991558365831445,7.10944881889764,6.93,7.0455421686747
Samurai Deeper Kyou,7.71,manga,finished,1999-05-26,2006-05-10,23362,885,TRUE,7.046501569471377,7.16427514792899,7.02829368334701,7.25005747126437
Saishuu Heiki Kanojo,7.92,manga,finished,1999-12-27,2001-10-29,15263,422,TRUE,7.041523764882854,6.93,6.92562576938859,7.11238095238095
Iryuu: Team Medical Dragon,8.14,manga,finished,2002-11-01,2011-01-28,10664,203,TRUE,7.446650357474731,7.22347440944882,6.92562576938859,7.144
Bleach: Gokui Meimei-hen,7.85,one_shot,finished,2021-08-10,2021-08-10,8053,75,TRUE,7.02677163120567,7.01019417475728,7.02829368334701,6.91140992167102
Runway de Waratte,8.09,manga,finished,2017-05-31,2021-07-14,13800,323,TRUE,7.11037890424987,7.611321428571429,7.02829368334701,7.25005747126437
Sensei wa Koi wo Oshierarenai,7.71,manga,finished,2018-06-12,2022-06-10,25975,598,TRUE,7.02929876512074,6.99883732920856,7.02829368334701,7.17823529411765
Darker than Black: Shikkoku no Hana,7.86,manga,finished,2009-05-15,2011-01-21,13186,262,TRUE,7.043375614658003,7.01019417475728,6.92562576938859,7.01743243243243
I''s,7.69,manga,finished,1997-04-08,2000-05-16,29522,1006,TRUE,6.94513108848362,6.97017016761029,7.02829368334701,6.91140992167102
Therapy Game,8.22,manga,finished,2017-11-14,2018-10-12,7016,233,FALSE,6.92562123032401,6.93,6.93,7.12403100775194
All You Need Is Kill,7.94,light_novel,finished,2004-12-18,2004-12-18,11947,563,TRUE,7.02224662567592,7.24032051282051,6.93,6.93
Dance in the Vampire Bund,7.7,manga,finished,2005-12-05,2012-09-05,26236,765,TRUE,6.975111319439168,7.02945701357466,6.92562576938859,6.96018181818182
Toriko,7.65,manga,finished,2008-05-19,2016-11-21,42572,1567,TRUE,7.0775381165199995,6.93,7.02829368334701,6.91140992167102
Koizora: Setsunai Koimonogatari,7.89,manga,finished,2007-01-01,2009-01-01,13092,348,TRUE,7.070864688368046,6.99883732920856,7.01893118148599,7.30666666666667
"Densha Otoko: Net Hatsu, Kakueki Teisha no Love Story",7.91,manga,finished,2005-01-06,2005-09-05,9797,130,TRUE,7.051107580427135,6.93,6.92562576938859,7.07848484848485
Mahouka Koukou no Rettousei: Nyuugaku-hen,7.76,manga,finished,2011-12-17,2013-09-18,17512,142,TRUE,7.01410529750055,6.99883732920856,7.02829368334701,7.3489230769230804
Little Butterfly,8.05,manga,finished,2001-06-01,2003-07-01,7758,122,FALSE,6.98720712163263,6.99883732920856,6.93,6.77545454545455
Kagen no Tsuki,7.91,manga,finished,1998-01-01,1999-01-01,11493,204,TRUE,7.086529584244907,6.93,7.01893118148599,7.14390728476821
Koroshiya 1,7.7,manga,finished,1998-02-19,2001-04-05,25255,738,TRUE,6.98929820111898,7.221970786260415,6.92562576938859,7.07848484848485
Usogui,8.21,manga,finished,2006-05-11,2017-12-21,19186,596,TRUE,6.93,7.19174524437761,6.92562576938859,6.98233082706767
Grappler Baki,7.72,manga,finished,1991-01-01,1999-01-01,20375,497,TRUE,7.03491295938104,7.198834612105715,7.02829368334701,7.02941860465116
"Ichido dake demo, Koukai Shitemasu.",7.89,manga,finished,2019-06-27,2021-02-26,9476,244,TRUE,6.91501251703922,6.93,6.93,6.92595419847328
Fukigen na Mononokean,8.2,manga,finished,2013-09-12,2021-04-22,11490,482,TRUE,7.002155718769125,6.93,6.93,6.95611570247934
Ikigami,7.83,manga,finished,2005-01-27,2012-02-06,19478,384,TRUE,7.103355107173325,7.10944881889764,6.92562576938859,7.07848484848485
City Hunter,8.16,manga,finished,1985-02-26,1991-11-19,13089,422,TRUE,7.052295874516545,7.19552380952381,7.02829368334701,6.91140992167102
Mujihi na Otoko,7.96,manga,finished,2009-07-25,2010-09-25,7519,72,FALSE,6.9456411983853235,6.99883732920856,6.93,7.05947368421053
King's Maker,8.17,manhwa,finished,2017-04-25,2017-11-14,8573,234,TRUE,7.03229925964905,6.93,6.93,7.26272727272727
Kimetsu no Yaiba Gaiden,7.7,manga,finished,2019-04-01,2020-10-17,17884,181,TRUE,7.03818578041982,7.16427514792899,7.02829368334701,6.91140992167102
Yondaime Ooyamato Tatsuyuki,7.79,manga,finished,2015-07-30,2015-07-30,12510,175,FALSE,6.98682562485146,6.93,6.93,6.93
Akuma to Love Song,7.68,manga,finished,2006-12-01,2011-04-05,30158,515,TRUE,7.05749550133888,6.99883732920856,7.01893118148599,6.9952380952381
Sakura-gari,8.13,manga,finished,2007-06-14,2010-01-14,7262,216,FALSE,7.0221662426765485,7.16427514792899,6.93841503267974,7.53666666666667
Superior,7.74,manga,finished,2004-06-24,2009-02-21,19773,338,TRUE,7.062054635608508,6.93,7.02829368334701,7.292
Magico,7.73,manga,finished,2011-02-28,2012-08-11,16308,388,TRUE,7.037115081660124,6.93,7.02829368334701,6.91140992167102
Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.43,light_novel,finished,2015-03-20,2015-03-20,12084,334,TRUE,7.061761356476515,7.16427514792899,7.01893118148599,6.93
A Good Day to Be a Dog,7.83,manhwa,finished,2017-08-05,2019-04-06,9925,211,TRUE,7.029825610054003,6.93,6.93,7.4291
Worst,8.02,manga,finished,2001-09-06,2013-07-05,12060,282,TRUE,7.010297046944495,7.278751997937615,7.02829368334701,6.88304347826087
Re:Zero kara Hajimeru Isekai Seikatsu: Dai-1 Shou - Outo no Ichinichi-hen,7.74,manga,finished,2014-06-27,2015-02-27,16621,223,TRUE,7.096462175105437,7.144383508018763,6.92562576938859,6.87876033057851
Tengen Toppa Gurren Lagann,7.95,manga,finished,2007-04-27,2013-05-27,12523,250,TRUE,7.037271250096232,6.945,7.02829368334701,6.92595419847328
Mekakushi no Kuni,7.99,manga,finished,1998-12-10,2004-01-24,9771,157,TRUE,7.04454043523602,7.48860465116279,7.01893118148599,7.19299145299145
Spiral: Suiri no Kizuna,7.96,manga,finished,1999-08-11,2005-10-12,11696,428,TRUE,7.12616915643742,6.99883732920856,7.02829368334701,7.11204819277108
Denpa Kyoushi,7.68,manga,finished,2011-11-02,2017-03-29,30769,622,TRUE,6.99514661646792,7.1407801117401934,7.02829368334701,7.22040229885057
Rozen Maiden,7.78,manga,finished,2002-08-12,2007-05-30,16287,554,TRUE,7.038230113929374,6.93,6.92562576938859,6.875
Life: Senjou no Bokura,8.39,manga,finished,2016-08-12,2017-01-14,5009,234,FALSE,7.014806106831068,6.93,6.93,6.96836206896552
Higurashi no Naku Koro ni Kai: Matsuribayashi-hen,8.21,manga,finished,2008-06-22,2011-04-22,8631,153,TRUE,7.021187063143484,7.10944881889764,6.93,7.292
ES: Eternal Sabbath,7.86,manga,finished,2001-08-23,2004-10-07,13436,263,TRUE,7.046196499750324,7.10944881889764,6.92562576938859,7.13910447761194
Sakamichi no Apollon: Bonus Track,8.33,manga,finished,2012-03-28,2012-07-28,5766,36,TRUE,7.070864688368046,7.188417573964495,6.93841503267974,7.28694444444444
Himegoto Asobi,8.03,manga,finished,2011-05-30,2014-01-30,6953,88,FALSE,6.990382919566746,6.93,6.93,7.0925
Cheese in the Trap Season 4,8.13,manhwa,finished,2015-09-02,2017-03-29,7138,155,TRUE,7.054618960204192,6.99883732920856,6.93,7.4291
Hataraku Maou-sama!,7.8,light_novel,finished,2011-02-10,2020-08-07,26286,557,TRUE,7.012595534356185,6.93,6.93,6.93
Ai Hime: Ai to Himegoto,7.73,manga,finished,2006-03-13,2007-04-13,13358,208,TRUE,7.05749550133888,6.93,7.01893118148599,7.04922330097087
Kingdom Hearts II,7.8,manga,finished,2006-05-12,2015-08-12,13094,469,TRUE,7.080184607991869,6.93,7.02829368334701,7.11204819277108
Zetman,7.66,manga,finished,2002-10-31,2014-07-24,36365,612,TRUE,7.03562291141198,6.93,6.92562576938859,6.98233082706767
Black Bird,7.62,manga,finished,2006-07-13,2012-12-13,47693,1977,TRUE,7.152530965107313,6.93,7.01893118148599,7.04922330097087
Saenai Heroine no Sodatekata: Koisuru Metronome,8,manga,finished,2013-08-24,2018-04-25,10021,304,TRUE,7.033557379061904,6.93,6.92562576938859,6.94318181818182
Kiraboshi Dial,7.85,manga,finished,2009-04-01,2009-08-01,8441,36,FALSE,6.92562123032401,6.93,6.93,7.0455421686747
Ga-Rei,7.65,manga,finished,2005-10-26,2010-01-26,30831,1005,TRUE,7.013074798973097,7.026778037432266,7.02829368334701,7.00973214285714
Sakigake!! Cromartie Koukou,8.12,manga,finished,2000-07-19,2006-05-17,12217,306,TRUE,7.38430147260377,7.3866284153005495,7.02829368334701,7.25005747126437
Clannad: Tomoyo After,7.96,manga,finished,2007-04-20,2007-10-20,7349,200,TRUE,7.05749550133888,6.93,6.93,6.82182608695652
Mademoiselle Butterfly,7.92,manga,finished,2001-12-08,2006-08-10,8426,74,TRUE,7.05749550133888,7.16427514792899,7.01893118148599,7.10689655172414
Kingyosou,8.04,manga,finished,2005-08-10,2007-02-10,8214,103,TRUE,7.05749550133888,6.93,7.01893118148599,7.10689655172414
Rockin'★Heaven,7.71,manga,finished,2005-12-01,2008-07-01,16906,240,TRUE,7.05749550133888,7.09360471111591,7.01893118148599,7.14390728476821
Saiyuuki Reload,8.23,manga,finished,2002-03-28,2009-06-27,7713,222,TRUE,7.05826844282452,6.93,6.93841503267974,7.17962264150943
Otomen,7.71,manga,finished,2006-03-25,2012-11-26,21311,552,TRUE,6.99514661646792,6.99883732920856,7.01893118148599,7.3264
+Anima,7.67,manga,finished,1999-12-27,2005-01-27,19959,870,TRUE,7.080184607991869,6.93,7.02829368334701,6.95133333333333
Orange,8.1,light_novel,finished,2015-07-18,2016-03-18,8434,287,TRUE,7.041523764882854,7.20599098460756,6.93,6.93
Arakawa Under the Bridge,7.84,manga,finished,2004-12-03,2015-07-03,16047,354,TRUE,6.99514661646792,6.93,6.92562576938859,7.01743243243243
Power!!,7.71,manga,finished,1999-08-11,2002-01-01,14272,335,TRUE,7.0293430862509805,7.019530490086044,7.01893118148599,7.0719014084507
Kamibukuro-kun wa Koishiteru,7.7,manga,finished,2020-02-14,2020-10-09,16440,264,TRUE,6.99514661646792,6.93,6.93,7.52
Fairy Tail,7.58,manga,finished,2006-08-02,2017-07-26,255958,20785,TRUE,7.244550996516092,6.93,7.02829368334701,7.25005747126437
Ningen Shikkaku,7.82,manga,finished,2017-05-02,2018-04-20,12291,292,TRUE,7.11037890424987,7.10944881889764,6.92562576938859,7.25
Subarashii Sekai,7.67,manga,finished,2002-01-19,2004-03-19,27820,404,TRUE,7.103990983338125,6.93,6.92562576938859,7.108125
Fukakai na Boku no Subete wo,7.92,manga,finished,2018-06-01,2021-03-05,12238,519,TRUE,7.05749550133888,6.93,6.93,7.92
Tobaku Datenroku Kaiji: One Poker-hen,8.52,manga,finished,2013-06-03,2017-08-21,6579,355,TRUE,7.11037890424987,7.288397974379097,6.92562576938859,7.01152173913044
Sasurai Emanon,7.8,manga,finished,2008-10-18,2017-12-19,13246,165,TRUE,7.10825683847576,6.93,6.92562576938859,7.02875
Chi's Sweet Home,7.84,manga,finished,2004-01-08,2015-06-18,11461,344,TRUE,7.041642098467165,7.22681818181818,6.92562576938859,7.13910447761194
ReRe Hello,7.75,manga,finished,2013-03-13,2016-09-13,17434,166,TRUE,7.00461209842789,6.99883732920856,7.01893118148599,7.10311688311688
Defense Devil,7.62,manga,finished,2009-04-22,2011-06-10,36137,742,TRUE,6.99494959454291,7.0183203125,7.02829368334701,7.22040229885057
Yu☆Gi☆Oh!,7.62,manga,finished,1996-09-17,2004-03-08,34426,1832,TRUE,7.062936008943922,7.0789434752851665,7.02829368334701,6.91140992167102
Himegimi to Sanbiki no Kemono,7.98,manga,finished,2009-02-20,2011-03-20,8174,108,TRUE,7.0414586014586,6.93,7.01893118148599,6.89118644067797
Steins;Gate,8.51,light_novel,finished,2011-06-30,2012-05-31,10809,166,TRUE,7.07356465578932,6.93,6.93,6.93
Koisome Momiji,7.66,manga,finished,2012-05-07,2012-11-19,19584,298,TRUE,6.84223215758833,7.243720990185675,7.02829368334701,6.91140992167102
Trinity Blood,7.82,manga,finished,2003-08-23,2018-04-24,15762,519,TRUE,7.003786699357268,7.02945701357466,7.01893118148599,6.98821052631579
My Broken Mariko,7.68,manga,finished,2019-07-16,2019-12-17,17807,430,TRUE,7.11037890424987,6.93,6.93841503267974,7.365
W-Juliet,7.9,manga,finished,1997-10-15,2002-11-20,9454,224,TRUE,7.049568799903023,7.069574601907797,7.01893118148599,7.25844720496894
Fushigi Yuugi,7.65,manga,finished,1992-05-01,1996-07-01,21783,956,TRUE,7.062054635608508,7.181939324219857,7.01893118148599,7.00196202531646
Otokomae! Beads Club,7.68,manga,finished,2004-02-13,2004-10-13,15310,70,TRUE,6.99514661646792,6.99883732920856,7.01893118148599,7.04922330097087
Rikudou,7.76,manga,finished,2014-04-17,2019-05-23,18942,274,TRUE,7.08222648916197,7.12978723404255,6.92562576938859,6.98233082706767
Kara no Kyoukai: The Garden of Sinners,8.54,light_novel,finished,1998-10-01,1999-08-01,13875,490,TRUE,7.00331779741737,7.0422021535354,6.93,6.93
Suzumiya Haruhi no Yuuutsu,7.74,manga,finished,2005-09-26,2013-09-26,16390,681,TRUE,7.0310676584397305,6.99883732920856,7.02829368334701,7.00973214285714
Koukyoushihen Eureka seveN,7.79,manga,finished,2005-01-26,2006-11-25,11127,318,TRUE,7.055678973710948,6.945,7.02829368334701,7.00973214285714
Hybrid Child,7.82,manga,finished,2003-06-28,2004-08-28,9644,127,TRUE,7.0200170919721465,7.16427514792899,6.93,7.0513698630137
Rec: Kimi ga Naita Hi,7.87,manga,finished,2010-11-02,2011-02-03,7892,95,TRUE,7.05749550133888,6.99883732920856,7.01893118148599,7.14390728476821
Sunny,8.26,manga,finished,2010-12-25,2015-07-27,15178,491,TRUE,7.446650357474731,6.93,6.92562576938859,6.98833333333333
Sekai no Owari to Yoakemae,7.71,manga,finished,2005-06-18,2008-09-01,17571,199,TRUE,7.103990983338125,6.93,6.92562576938859,7.11238095238095
Saiyuuki Gaiden,8.27,manga,finished,1999-05-18,2009-05-16,10008,265,TRUE,7.065094058454926,6.93,6.93,7.3489230769230804
Kuroneko Kareshi no Amaekata,7.82,manga,finished,2013-03-14,2013-07-14,9013,47,FALSE,6.9950629169820475,6.93,6.93,7.12403100775194
Gokinjo Monogatari,8.04,manga,finished,1995-02-01,1997-10-01,9541,282,TRUE,7.00461209842789,7.7315,7.01893118148599,7.14390728476821
Girls of the Wild's,7.58,manhwa,finished,2011-08-14,2016-10-29,66819,2121,TRUE,7.0338962741416875,7.00117226860294,6.93,7.4291
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,8.23,light_novel,finished,2011-04-01,2015-04-01,14021,359,TRUE,7.020170749594472,7.19317073170732,6.93,6.93
Yuusha Goikkou no Kaerimichi,7.88,one_shot,finished,2018-08-02,2018-08-02,7042,108,TRUE,7.090249373411203,6.93,7.02829368334701,7.02809523809524
Rekka no Honoo,7.72,manga,finished,1995-03-22,2002-10-30,13879,336,TRUE,7.037115081660124,6.93,7.02829368334701,7.22040229885057
Blood Lad,7.59,manga,finished,2009-09-04,2016-09-03,61425,1465,TRUE,7.013074798973097,7.202147997580443,6.92562576938859,6.9187323943662
Otokogokoro,7.86,manga,finished,2007-11-30,2009-12-28,8051,96,FALSE,6.95195151969197,6.93,6.93,7.05034482758621
Sono Yubi dake ga Shitteiru,7.92,manga,finished,2002-11-01,2002-11-01,6770,107,TRUE,7.0200170919721465,6.99883732920856,6.93,6.93
Inuyashiki,7.59,manga,finished,2014-01-28,2017-07-25,51064,842,TRUE,7.059979598110335,7.33449275362319,6.92562576938859,6.92740740740741
One Piece: Episode A,8.15,manga,finished,2020-09-16,2021-12-02,5606,40,TRUE,7.045240827468183,7.01019417475728,7.02829368334701,7.58333333333333
"Kuzumi-kun, Kuuki Yometemasu ka?",7.61,manga,finished,2015-03-21,2019-06-22,32660,578,TRUE,6.99514661646792,6.99883732920856,7.02829368334701,7.18098360655738
Opus,7.77,manga,finished,1995-10-01,1996-06-01,17653,414,TRUE,7.080184607991869,6.93,6.92562576938859,6.93
Tekkon Kinkreet,8.02,manga,finished,1993-01-01,1994-01-01,12328,324,TRUE,7.03491295938104,7.10944881889764,6.92562576938859,7.11238095238095
Citrus,7.57,manga,finished,2012-11-17,2018-08-18,79240,4740,FALSE,6.92376846994701,6.99883732920856,6.93,6.76602836879433
Dr. Stone Reboot: Byakuya,7.7,manga,finished,2019-10-28,2019-12-23,11913,121,TRUE,7.06424545324797,7.24208955223881,7.02829368334701,6.91140992167102
Tenshi ja Nai!!,7.88,manga,finished,2003-02-06,2006-05-02,8503,115,TRUE,7.033557379061904,7.24499009317571,7.01893118148599,7.23459459459459
Sakurasou no Pet na Kanojo,8.01,light_novel,finished,2010-01-10,2014-03-08,14895,389,TRUE,7.02929876512074,7.7315,6.93,6.93
Hakushaku Cain Series,7.92,manga,finished,1992-01-01,1994-01-01,8947,231,TRUE,6.97659114259029,7.16427514792899,7.01893118148599,7.25844720496894
Ai Kora,7.66,manga,finished,2005-07-06,2008-02-06,15126,369,TRUE,6.94513108848362,6.97017016761029,7.02829368334701,7.22040229885057
NightS,7.8,manga,finished,2008-07-01,2012-01-01,8665,56,FALSE,6.98720712163263,6.93,6.93,7.0455421686747
Starlike Words,7.66,manga,finished,2010-04-08,2010-06-07,15151,112,FALSE,6.92562123032401,6.93,6.93,6.99
Escape Journey,7.84,manga,finished,2015-02-06,2018-02-07,10563,183,FALSE,6.98720712163263,6.93,6.93,7.0455421686747
Kiniro no Corda,7.81,manga,finished,2004-03-05,2011-03-24,10893,278,TRUE,7.033557379061904,7.200466046511631,7.01893118148599,7.19299145299145
Joou to Shitateya,7.9,manga,finished,2013-01-30,2015-04-30,6846,110,FALSE,6.988364405375572,6.93,6.93,6.96428571428571
Gomashio to Pudding,7.95,manga,finished,2018-07-27,2020-04-24,6941,180,TRUE,6.99514661646792,6.93,6.93,6.93
Origin,7.67,manga,finished,2016-09-05,2019-02-09,23633,325,TRUE,7.27580502068381,6.93,6.92562576938859,7.01152173913044
Gokurakugai Sanban-doori no Ken,7.71,one_shot,finished,2020-01-27,2020-01-27,11832,184,TRUE,7.02677163120567,6.93,7.02829368334701,7.29
Michiru Heya,7.92,doujinshi,finished,2006-08-12,2014-08-16,7509,59,FALSE,6.92562123032401,6.93,6.93,6.93
Winter Woods,8.09,manhwa,finished,2014-07-13,2017-01-29,7556,203,TRUE,6.9998132462667675,6.93,6.93,7.4291
Akagi: Yami ni Oritatta Tensai,8.09,manga,finished,1991-06-01,2018-02-01,9982,325,TRUE,7.072645931815455,7.282741844110897,6.93,7.21142857142857
Silver Diamond,8.26,manga,finished,2003-08-20,2012-05-20,7817,281,TRUE,7.03514316307414,7.19317073170732,7.01893118148599,7.57
Teppuu,7.65,manga,finished,2008-11-07,2015-07-07,22970,542,TRUE,7.066455312568327,7.119618026470095,6.92562576938859,6.94
O.B.,7.89,manga,finished,2012-04-27,2013-12-27,8274,56,FALSE,6.982948507691467,6.99883732920856,6.93,7.09974358974359
Super Secret,7.87,manhwa,finished,2015-03-30,2018-01-22,7271,171,TRUE,7.029825610054003,6.93,6.93,7.4291
Ikemen Girl to Hakoiri Musume,7.78,manga,finished,2019-09-27,2020-10-27,9987,224,TRUE,6.870212726344885,6.93,7.02829368334701,6.86229166666667
Yumemiru Taiyou,7.67,manga,finished,2007-10-13,2011-08-11,19874,338,TRUE,7.00461209842789,6.93,7.01893118148599,7.10311688311688
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen Dai 1-bu - Hon ga Nai nara Tsukureba Ii!,7.8,manga,finished,2015-10-30,2018-07-02,11185,165,TRUE,7.0414586014586,7.295639419907715,6.93,7.8
Shigeshoushi,8.04,manga,finished,2002-05-08,2013-04-08,12140,360,TRUE,7.05749550133888,7.10944881889764,6.93841503267974,6.95474576271186
Hinomaruzumou,7.77,manga,finished,2014-05-26,2019-07-22,12399,176,TRUE,7.05407407407407,7.12978723404255,7.02829368334701,6.91140992167102
Vigilante: Boku no Hero Academia Illegals,7.59,manga,finished,2016-09-20,2022-05-28,39011,1009,TRUE,7.03491295938104,7.01019417475728,7.02829368334701,7.02809523809524
Nanatsu no Taizai,7.54,manga,finished,2012-10-10,2020-03-25,168392,7323,TRUE,7.244550996516092,6.93,7.02829368334701,7.25005747126437
Shishunki Bitter Change,7.69,manga,finished,2012-10-25,2019-01-15,16306,401,TRUE,7.05749550133888,7.0541430740530995,7.01893118148599,6.918
Komatta Toki ni wa Hoshi ni Kike,8.31,manga,finished,1997-03-24,2005-05-20,7530,346,TRUE,7.0137067706655,6.93,7.01893118148599,7.57
Denei Shoujo,7.69,manga,finished,1989-11-21,1992-09-01,13934,516,TRUE,6.964610762885526,6.93,7.02829368334701,6.91140992167102
Vitamin,7.67,manga,finished,2001-08-13,2001-10-13,11677,249,TRUE,7.103990983338125,7.0541430740530995,7.01893118148599,7.0719014084507
Aoi Hana,7.71,manga,finished,2004-11-17,2013-07-06,16489,505,TRUE,6.987575428286023,6.99883732920856,6.93,6.77666666666667
Kishibe Rohan Louvre e Iku,7.7,manga,finished,2010-04-29,2010-04-29,10989,108,TRUE,7.074604924242426,7.10944881889764,6.93,6.93
Deep Love: Pao no Monogatari,7.92,manga,finished,2005-01-01,2005-01-01,7563,85,TRUE,7.103990983338125,6.93,7.01893118148599,6.93
Fake,7.9,manga,finished,1993-01-01,2000-05-06,6694,328,FALSE,6.967959138634253,6.93,6.93,7.0455421686747
At the End of the Road,7.78,manhwa,finished,2016-09-12,2018-01-08,8540,249,TRUE,7.06432939903213,7.16879808540477,6.93,7.26272727272727
